Date,Category,Description,Amount
21/09/2023,Food,Debit,$11.72
03/09/2023,Entertainment,Credit,$89.44
30/08/2023,Transport,Debit,$83.07
07/01/2024,Food,Debit,$42.95
20/04/2024,Category,Credit,$18.19
23/06/2023,Medical Expenses,Debit,$51.15
08/03/2024,Food,Debit,$80.16
11/11/2023,Social Activities,Credit,$18.94
07/06/2024,Social Activities,Credit,$93.76
18/01/2024,Social Activities,Debit,$54.81
06/11/2023,Medical Expenses,Debit,$10.12
02/04/2024,Entertainment,Credit,$32.55
19/08/2023,Travel,Credit,$36.02
30/04/2023,Social Activities,Debit,$65.09
21/05/2023,Personal Care,Debit,$93.62
09/06/2023,Travel,Credit,$26.31
23/06/2023,Medical Expenses,Credit,$99.55
17/02/2023,Personal Care,Credit,$45.57
07/06/2024,Gifts & Donations,Debit,$16.81
22/07/2023,Transport,Debit,$28.09
08/05/2024,Social Activities,Debit,$49.74
22/10/2023,Gifts & Donations,Debit,$50.39
15/06/2024,Entertainment,Credit,$45.28
04/03/2023,Personal Care,Debit,$94.17
22/05/2024,Gifts & Donations,Debit,$63.54
24/03/2024,Social Activities,Credit,$27.52
19/04/2024,Medical Expenses,Credit,$83.50
14/05/2024,Social Activities,Debit,$76.18
01/08/2023,Personal Care,Debit,$95.87
14/09/2023,Social Activities,Credit,$35.60
28/10/2023,Food,Credit,$13.77
05/09/2023,Medical Expenses,Credit,$25.94
08/03/2023,Travel,Credit,$23.04
15/05/2024,Entertainment,Debit,$97.64
28/02/2023,Personal Care,Credit,$32.14
08/06/2024,Travel,Debit,$76.58
21/01/2024,Gifts & Donations,Debit,$19.44
29/05/2023,Gifts & Donations,Debit,$30.03
28/11/2023,Food,Debit,$35.74
01/02/2023,Personal Care,Credit,$76.67
19/09/2023,Food,Credit,$79.46
27/11/2023,Entertainment,Credit,$66.66
23/12/2023,Category,Credit,$57.32
29/04/2023,Social Activities,Credit,$71.12
18/12/2023,Social Activities,Credit,$100.29
14/03/2023,Travel,Debit,$81.18
02/10/2023,Medical Expenses,Credit,$31.20
06/06/2024,Category,Debit,$45.03
23/05/2023,Food,Debit,$67.00
09/04/2023,Food,Credit,$89.53
21/01/2024,Travel,Debit,$39.82
07/05/2023,Social Activities,Credit,$63.87
11/12/2023,Transport,Credit,$73.22
12/12/2023,Social Activities,Credit,$72.41
24/03/2023,Travel,Debit,$52.51
24/08/2023,Medical Expenses,Credit,$35.60
04/01/2024,Personal Care,Debit,$50.20
06/04/2024,Personal Care,Credit,$29.36
19/05/2023,Social Activities,Credit,$75.28
18/12/2023,Personal Care,Credit,$8.69
29/01/2024,Food,Debit,$55.13
09/03/2024,Transport,Credit,$88.36
18/12/2023,Personal Care,Debit,$45.73
22/01/2023,Travel,Debit,$68.01
30/03/2023,Entertainment,Credit,$60.93
18/02/2024,Entertainment,Credit,$73.43
29/03/2023,Entertainment,Credit,$63.34
26/09/2023,Food,Debit,$25.10
23/09/2023,Food,Debit,$62.94
28/02/2024,Gifts & Donations,Debit,$54.52
12/11/2023,Social Activities,Debit,$47.76
02/05/2024,Travel,Debit,$39.46
25/03/2023,Medical Expenses,Credit,$72.26
29/05/2023,Medical Expenses,Debit,$68.56
18/12/2023,Food,Debit,$34.87
24/09/2023,Transport,Debit,$100.57
26/03/2024,Entertainment,Debit,$80.60
03/02/2024,Category,Debit,$22.63
25/04/2024,Travel,Debit,$75.73
17/05/2024,Gifts & Donations,Credit,$46.06
24/02/2024,Medical Expenses,Credit,$92.83
19/05/2023,Entertainment,Credit,$15.52
23/05/2023,Medical Expenses,Credit,$11.67
26/09/2023,Transport,Debit,$6.03
05/02/2023,Social Activities,Debit,$78.80
03/09/2023,Travel,Debit,$30.19
15/03/2024,Food,Debit,$73.16
03/05/2023,Food,Credit,$10.54
19/12/2023,Transport,Credit,$100.97
05/02/2023,Travel,Credit,$58.86
25/03/2024,Category,Credit,$37.23
29/06/2023,Personal Care,Debit,$67.87
15/11/2023,Travel,Debit,$91.83
25/12/2023,Travel,Credit,$29.77
09/07/2023,Entertainment,Debit,$34.48
22/05/2023,Category,Debit,$56.78
13/09/2023,Social Activities,Credit,$100.40
12/05/2023,Medical Expenses,Debit,$88.80
01/04/2023,Gifts & Donations,Credit,$31.08
07/01/2024,Category,Credit,$21.17
25/03/2023,Personal Care,Credit,$50.08
03/05/2023,Gifts & Donations,Credit,$53.53
18/02/2023,Food,Debit,$74.25
06/09/2023,Social Activities,Credit,$79.70
18/06/2023,Social Activities,Debit,$31.72
17/05/2023,Personal Care,Credit,$95.48
11/06/2023,Transport,Debit,$88.09
25/04/2024,Food,Credit,$73.38
05/09/2023,Food,Credit,$75.71
13/10/2023,Medical Expenses,Credit,$80.43
23/09/2023,Gifts & Donations,Debit,$18.75
12/04/2023,Gifts & Donations,Credit,$85.03
14/01/2024,Entertainment,Debit,$65.37
15/02/2024,Medical Expenses,Credit,$38.28
01/12/2023,Gifts & Donations,Debit,$35.37
21/12/2023,Gifts & Donations,Credit,$48.24
27/10/2023,Travel,Credit,$30.02
10/04/2024,Personal Care,Debit,$27.69
17/05/2024,Personal Care,Credit,$85.25
07/07/2023,Gifts & Donations,Credit,$96.33
11/05/2024,Food,Credit,$100.49
04/06/2023,Social Activities,Debit,$70.55
27/04/2023,Gifts & Donations,Debit,$10.14
02/04/2023,Medical Expenses,Debit,$58.17
16/08/2023,Gifts & Donations,Debit,$16.91
17/11/2023,Food,Credit,$25.97
23/01/2023,Transport,Credit,$33.67
22/02/2023,Transport,Credit,$49.02
10/02/2023,Personal Care,Credit,$27.15
14/04/2023,Food,Credit,$11.35
04/04/2023,Travel,Credit,$8.23
20/02/2023,Transport,Debit,$42.85
10/10/2023,Transport,Credit,$37.06
21/06/2023,Personal Care,Credit,$55.76
11/04/2023,Food,Credit,$70.95
19/07/2023,Gifts & Donations,Credit,$45.58
12/04/2024,Transport,Credit,$46.57
23/07/2023,Entertainment,Debit,$22.63
19/02/2024,Entertainment,Debit,$60.50
14/07/2023,Travel,Credit,$51.35
13/07/2023,Travel,Debit,$27.23
27/08/2023,Category,Credit,$54.52
09/04/2023,Social Activities,Debit,$37.78
14/04/2023,Transport,Debit,$8.72
09/05/2023,Personal Care,Debit,$38.67
27/03/2023,Food,Debit,$59.43
14/02/2024,Personal Care,Debit,$60.91
20/03/2024,Food,Credit,$71.38
25/04/2023,Gifts & Donations,Debit,$8.24
14/03/2024,Food,Credit,$56.00
25/09/2023,Social Activities,Debit,$71.01
10/01/2023,Gifts & Donations,Debit,$79.85
09/03/2023,Personal Care,Debit,$36.59
02/03/2023,Gifts & Donations,Debit,$45.48
25/03/2023,Personal Care,Debit,$29.54
18/03/2023,Medical Expenses,Credit,$27.13
23/12/2023,Social Activities,Credit,$31.12
25/06/2023,Social Activities,Debit,$32.33
23/10/2023,Entertainment,Debit,$11.43
19/10/2023,Gifts & Donations,Credit,$35.41
12/03/2023,Gifts & Donations,Debit,$40.56
03/06/2024,Personal Care,Credit,$60.85
05/05/2023,Medical Expenses,Debit,$20.15
29/08/2023,Gifts & Donations,Debit,$86.19
05/11/2023,Social Activities,Credit,$64.91
05/12/2023,Social Activities,Debit,$62.28
05/05/2024,Personal Care,Debit,$5.35
31/01/2024,Food,Debit,$17.53
03/04/2024,Medical Expenses,Credit,$74.75
28/02/2024,Entertainment,Credit,$21.04
18/01/2024,Food,Credit,$92.88
30/01/2024,Social Activities,Debit,$81.13
01/11/2023,Category,Debit,$39.57
18/08/2023,Transport,Debit,$5.31
20/09/2023,Travel,Debit,$46.34
01/02/2023,Gifts & Donations,Debit,$6.58
07/02/2023,Entertainment,Debit,$55.48
01/01/2023,Travel,Credit,$36.01
17/05/2023,Food,Debit,$7.30
02/06/2024,Gifts & Donations,Debit,$12.05
16/05/2023,Transport,Credit,$40.66
17/05/2024,Travel,Debit,$76.79
01/06/2024,Food,Debit,$46.93
08/02/2023,Category,Credit,$15.00
09/03/2023,Gifts & Donations,Credit,$12.34
21/01/2023,Entertainment,Credit,$56.75
13/02/2024,Gifts & Donations,Debit,$57.70
13/06/2023,Entertainment,Credit,$43.90
13/01/2024,Social Activities,Debit,$75.09
12/09/2023,Medical Expenses,Credit,$65.93
05/03/2023,Entertainment,Debit,$76.44
16/05/2024,Medical Expenses,Debit,$92.04
11/04/2023,Travel,Credit,$13.77
19/12/2023,Social Activities,Credit,$21.75
22/03/2023,Entertainment,Debit,$78.75
01/02/2023,Social Activities,Debit,$47.76
14/05/2024,Food,Credit,$83.53
20/06/2023,Transport,Debit,$34.00
08/03/2024,Social Activities,Credit,$89.70
27/09/2023,Category,Debit,$95.82
20/04/2023,Food,Credit,$63.47
11/04/2023,Gifts & Donations,Debit,$64.03
26/10/2023,Transport,Credit,$73.28
01/04/2023,Travel,Debit,$83.75
22/07/2023,Category,Debit,$16.06
12/05/2023,Category,Credit,$41.22
25/12/2023,Food,Credit,$13.98
18/06/2024,Medical Expenses,Debit,$19.25
24/01/2024,Gifts & Donations,Credit,$88.32
26/05/2023,Food,Debit,$52.02
15/03/2023,Gifts & Donations,Credit,$80.58
17/07/2023,Gifts & Donations,Credit,$33.12
21/12/2023,Gifts & Donations,Credit,$37.39
06/08/2023,Medical Expenses,Credit,$91.87
25/04/2024,Personal Care,Credit,$84.80
08/09/2023,Category,Credit,$13.28
26/05/2024,Personal Care,Credit,$90.09
09/04/2024,Entertainment,Debit,$61.05
17/05/2024,Travel,Debit,$15.73
23/06/2023,Transport,Credit,$87.79
12/02/2023,Social Activities,Debit,$47.31
05/09/2023,Category,Credit,$80.16
25/11/2023,Travel,Debit,$14.89
11/10/2023,Category,Debit,$88.98
20/12/2023,Medical Expenses,Debit,$94.68
19/10/2023,Gifts & Donations,Debit,$82.72
16/09/2023,Entertainment,Credit,$11.46
27/07/2023,Category,Debit,$88.11
19/12/2023,Food,Debit,$89.72
08/03/2023,Personal Care,Debit,$58.28
05/01/2024,Entertainment,Debit,$29.07
14/02/2023,Category,Debit,$83.07
20/03/2024,Travel,Debit,$74.21
25/07/2023,Social Activities,Debit,$88.78
21/02/2023,Food,Credit,$55.08
28/02/2024,Food,Credit,$19.18
05/01/2024,Travel,Credit,$74.90
12/10/2023,Personal Care,Debit,$6.22
06/02/2023,Social Activities,Debit,$81.34
06/01/2023,Social Activities,Credit,$100.12
10/04/2023,Medical Expenses,Debit,$61.48
08/06/2024,Medical Expenses,Debit,$13.92
28/01/2023,Food,Debit,$25.85
25/07/2023,Transport,Credit,$24.27
10/02/2023,Medical Expenses,Credit,$11.44
15/02/2023,Category,Debit,$25.75
20/04/2024,Category,Credit,$60.74
26/01/2023,Medical Expenses,Credit,$29.30
03/06/2024,Category,Credit,$27.45
07/07/2023,Gifts & Donations,Debit,$71.19
03/02/2023,Travel,Credit,$92.52
24/05/2023,Category,Debit,$24.77
18/05/2024,Personal Care,Credit,$28.22
14/01/2024,Gifts & Donations,Debit,$45.21
01/01/2023,Food,Credit,$91.59
21/06/2023,Social Activities,Debit,$38.81
27/10/2023,Gifts & Donations,Debit,$62.01
13/03/2024,Gifts & Donations,Debit,$48.18
29/02/2024,Gifts & Donations,Debit,$68.32
04/05/2024,Entertainment,Credit,$34.40
18/05/2023,Medical Expenses,Credit,$45.21
24/11/2023,Category,Debit,$38.40
14/01/2024,Personal Care,Credit,$16.39
15/05/2023,Travel,Credit,$54.76
24/04/2024,Travel,Credit,$24.75
30/01/2023,Travel,Debit,$78.85
05/06/2023,Entertainment,Credit,$84.98
27/11/2023,Transport,Credit,$64.82
02/11/2023,Food,Credit,$94.27
17/02/2023,Transport,Credit,$38.34
15/01/2024,Category,Credit,$21.11
01/04/2024,Food,Debit,$6.82
07/02/2024,Food,Credit,$69.11
09/06/2024,Travel,Debit,$99.22
20/11/2023,Travel,Debit,$26.32
29/07/2023,Medical Expenses,Credit,$56.49
19/05/2024,Category,Credit,$98.77
12/04/2024,Food,Credit,$94.13
11/01/2024,Transport,Credit,$58.21
23/10/2023,Entertainment,Debit,$29.33
03/06/2023,Food,Debit,$71.39
24/02/2023,Entertainment,Debit,$35.62
20/05/2024,Entertainment,Credit,$6.85
12/12/2023,Social Activities,Credit,$70.06
29/01/2024,Travel,Debit,$13.22
24/01/2023,Category,Credit,$23.59
08/02/2023,Transport,Credit,$22.92
27/02/2023,Social Activities,Credit,$87.12
21/09/2023,Medical Expenses,Debit,$23.29
10/10/2023,Social Activities,Debit,$89.82
16/03/2023,Food,Credit,$82.97
03/05/2023,Personal Care,Debit,$29.86
25/05/2024,Food,Debit,$5.69
22/12/2023,Travel,Debit,$61.11
17/11/2023,Medical Expenses,Credit,$81.43
25/05/2023,Travel,Credit,$33.80
25/07/2023,Travel,Credit,$91.23
25/02/2024,Entertainment,Debit,$37.72
